time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,x_pose,y_pose,z_pose,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,c
2023/02/19/19:16:53.067686,2126,1814967,626625904,map,4.930796623,9.317663193,14.47428989,-0.123297961,0.356559378,-0.613558953,-0.693691977,71
2023/02/19/19:16:53.099560,2127,1814967,658625904,map,4.894730091,9.230687141,14.43348503,-0.124051578,0.356167928,-0.611727678,-0.695373968,71
2023/02/19/19:16:53.130965,2128,1814967,691232484,map,4.855284691,9.1378479,14.39200974,-0.124745389,0.356224542,-0.609659245,-0.697035431,71
2023/02/19/19:16:53.167585,2129,1814967,723232484,map,4.811953068,9.038488388,14.34972668,-0.124901933,0.355989478,-0.608802276,-0.697875879,71
2023/02/19/19:16:53.199246,2130,1814967,755232484,map,4.764758587,8.93265152,14.30654144,-0.124306324,0.35371514,-0.607663968,-0.7001272,71
2023/02/19/19:16:53.230882,2131,1814967,787836963,map,4.714588165,8.821969032,14.26250362,-0.122570559,0.349139709,-0.607814206,-0.702595124,71
2023/02/19/19:16:53.267194,2132,1814967,827836963,map,4.646309853,8.674329758,14.20586109,-0.120947979,0.345328338,-0.608327339,-0.704313667,71
2023/02/19/19:16:53.299131,2133,1814967,859836963,map,4.587720394,8.549722672,14.15934372,-0.117099845,0.335654204,-0.610248192,-0.70796977,71
2023/02/19/19:16:53.330966,2134,1814967,892439357,map,4.526179314,8.420398712,14.11191559,-0.112039442,0.323336492,-0.613213497,-0.711947989,71
2023/02/19/19:16:53.367069,2135,1814967,924439357,map,4.461275578,8.285628319,14.06351757,-0.109160685,0.31623361,-0.615060393,-0.713989477,71
2023/02/19/19:16:53.398867,2136,1814967,956439357,map,4.393513203,8.146281242,14.01432323,-0.102860121,0.300716858,-0.619392704,-0.717873188,71
2023/02/19/19:16:53.430944,2137,1814967,989040193,map,4.322608471,8.001917839,13.9644165,-0.096044091,0.283536032,-0.624310999,-0.721539026,71
2023/02/19/19:16:53.467089,2138,1814968,29040193,map,4.229995728,7.815177441,13.90119362,-0.092535271,0.274445516,-0.626939666,-0.723231423,72
2023/02/19/19:16:53.499400,2139,1814968,61040193,map,4.152964592,7.661101818,13.85004711,-0.085052014,0.255407426,-0.632517496,-0.726260906,72
2023/02/19/19:16:53.531580,2140,1814968,93638996,map,4.073254108,7.502768517,13.79843712,-0.077291904,0.235278312,-0.638464954,-0.728719975,72
2023/02/19/19:16:53.567450,2141,1814968,125638996,map,3.99110198,7.340515137,13.74645615,-0.072685686,0.22287735,-0.642153622,-0.729850124,72
2023/02/19/19:16:53.599481,2142,1814968,157638996,map,3.906982183,7.175115108,13.69415092,-0.065315303,0.203983987,-0.647706559,-0.73116392,72
2023/02/19/19:16:53.630996,2143,1814968,190236079,map,3.820444584,7.005886555,13.64153576,-0.056592386,0.180303796,-0.654479876,-0.732081897,72
2023/02/19/19:16:53.666938,2144,1814968,230236079,map,3.709611893,6.790280342,13.57538891,-0.053386502,0.171566486,-0.656933039,-0.732225233,72
2023/02/19/19:16:53.699239,2145,1814968,262236079,map,3.618938208,6.614731312,13.522089,-0.045444044,0.149738033,-0.6629049,-0.732168346,72
2023/02/19/19:16:53.731320,2146,1814968,294830751,map,3.526430607,6.436435699,13.46864796,-0.037626604,0.127818942,-0.668741169,-0.731458735,72
2023/02/19/19:16:53.767413,2147,1814968,326830751,map,3.432389736,6.255971909,13.41492081,-0.033757505,0.116841814,-0.671512456,-0.730944159,72
2023/02/19/19:16:53.799187,2148,1814968,358830751,map,3.336799383,6.073325634,13.36087704,-0.025773182,0.092766652,-0.677543535,-0.729153642,72
2023/02/19/19:16:53.831057,2149,1814968,391424368,map,3.239952326,5.888976097,13.3068285,-0.019472713,0.073073885,-0.682137998,-0.727302518,72
2023/02/19/19:16:53.867508,2150,1814968,431424368,map,3.117193699,5.656141281,13.23880482,-0.015451646,0.060273892,-0.684904857,-0.725970844,72
2023/02/19/19:16:53.899639,2151,1814968,463424368,map,3.017757654,5.46825552,13.18416595,-0.009649595,0.04102324,-0.688823447,-0.723703146,72
2023/02/19/19:16:53.931257,2152,1814968,496015897,map,2.917686462,5.279711246,13.12962341,-0.003569248,0.020293049,-0.692646876,-0.720982447,72
2023/02/19/19:16:53.971442,2153,1814968,528015897,map,2.816670179,5.089905739,13.07471085,-0.000532372,0.010109298,-0.694381702,-0.719535652,72
2023/02/19/19:16:54.003443,2154,1814968,560617728,map,2.715156317,4.899609566,13.0197773,0.00490778,-0.00965175,-0.697398398,-0.716601902,72
2023/02/19/19:16:54.035320,2155,1814968,592617728,map,2.613327503,4.709188461,12.96480751,0.010185868,-0.028644635,-0.699852411,-0.713640356,72
2023/02/19/19:16:54.075380,2156,1814968,632617728,map,2.485145092,4.470167637,12.89560699,0.012632305,-0.037862623,-0.700863585,-0.712177789,72
2023/02/19/19:16:54.107877,2157,1814968,665229489,map,2.382609844,4.279394627,12.84020424,0.017463549,-0.055602127,-0.702687848,-0.709107328,72
2023/02/19/19:16:54.139084,2158,1814968,697229489,map,2.280206203,4.089290619,12.78475857,0.022049153,-0.072428772,-0.703934842,-0.706217871,72
2023/02/19/19:16:54.175279,2159,1814968,729229489,map,2.17739439,3.898829937,12.72884655,0.024169529,-0.080568877,-0.704311295,-0.704890164,72
2023/02/19/19:16:54.207267,2160,1814968,761839307,map,2.075336218,3.710057497,12.67313385,0.028181804,-0.09608742,-0.704733546,-0.702370012,72
2023/02/19/19:16:54.239237,2161,1814968,793839307,map,1.973482847,3.521998882,12.61720848,0.03196196,-0.110710328,-0.704751398,-0.700033746,72
2023/02/19/19:16:54.275566,2162,1814968,833839307,map,1.846665382,3.288363457,12.54702568,0.033820512,-0.117648223,-0.704612086,-0.698954171,72
2023/02/19/19:16:54.307534,2163,1814968,866447353,map,1.746291161,3.103830338,12.4909544,0.037621831,-0.131894595,-0.703952824,-0.696878019,72
2023/02/19/19:16:54.339746,2164,1814968,898447353,map,1.646448374,2.920650721,12.4346838,0.040536786,-0.142686923,-0.703172053,-0.69537502,72
2023/02/19/19:16:54.375543,2165,1814968,930447353,map,1.547632694,2.739709854,12.37846756,0.042365333,-0.149680955,-0.702462748,-0.694511995,72
2023/02/19/19:16:54.407478,2166,1814968,963053783,map,1.44999671,2.561240911,12.32235146,0.044982831,-0.159264021,-0.701268285,-0.693422183,72
2023/02/19/19:16:54.439767,2167,1814968,995053783,map,1.352711558,2.383826256,12.26590919,0.047824867,-0.16931007,-0.699749787,-0.692385149,72
2023/02/19/19:16:54.479421,2168,1814969,35053783,map,1.233438015,2.166692734,12.19560337,0.049215671,-0.173949933,-0.698871756,-0.692024231,73
2023/02/19/19:16:54.511519,2169,1814969,67670315,map,1.13964057,1.996272326,12.13937092,0.051801411,-0.182583261,-0.697026079,-0.691472848,73
2023/02/19/19:16:54.543242,2170,1814969,99670315,map,1.046350241,1.827491879,12.08280182,0.054433882,-0.191204757,-0.694870946,-0.69110937,73
2023/02/19/19:16:54.579111,2171,1814969,131670315,map,0.955217659,1.662907481,12.02649593,0.055283742,-0.194158124,-0.694016984,-0.691076646,73
2023/02/19/19:16:54.611439,2172,1814969,164284997,map,0.865305781,1.500997901,11.97009659,0.057910492,-0.201604282,-0.691622108,-0.691130265,73
2023/02/19/19:16:54.643265,2173,1814969,196284997,map,0.776673555,1.341974735,11.91366291,0.059746582,-0.207014625,-0.689592362,-0.691402741,73
2023/02/19/19:16:54.679187,2174,1814969,236284997,map,0.668362677,1.148219347,11.84323978,0.060938068,-0.209926725,-0.688396277,-0.691612673,73
2023/02/19/19:16:54.711200,2175,1814969,268897783,map,0.583863497,0.997540176,11.78706551,0.062799389,-0.214871256,-0.686116072,-0.69219318,73
2023/02/19/19:16:54.743710,2176,1814969,300897783,map,0.50089401,0.85015893,11.73088074,0.064536925,-0.219638813,-0.683785391,-0.692842961,73
2023/02/19/19:16:54.779154,2177,1814969,332897783,map,0.420104712,0.707063675,11.67487621,0.065464087,-0.221664374,-0.682678713,-0.693202207,73
2023/02/19/19:16:54.810976,2178,1814969,365508373,map,0.341107994,0.567506671,11.61890221,0.066841288,-0.225470414,-0.680346323,-0.694135659,73
2023/02/19/19:16:54.843513,2179,1814969,397508373,map,0.26442647,0.432383835,11.56309509,0.068047552,-0.22863482,-0.678154553,-0.695127339,73
2023/02/19/19:16:54.879304,2180,1814969,437508373,map,0.172092497,0.270123482,11.49361038,0.068713219,-0.230377213,-0.676886932,-0.695721874,73
2023/02/19/19:16:54.911582,2181,1814969,470117382,map,0.100040637,0.144090101,11.4380064,0.069494674,-0.232434538,-0.675101091,-0.696694534,73
2023/02/19/19:16:54.943992,2182,1814969,502117382,map,0.030453762,0.022808179,11.38264751,0.070204659,-0.234188521,-0.673308292,-0.697770078,73
2023/02/19/19:16:54.979548,2183,1814969,534117382,map,-0.036577169,-0.093563609,11.32770348,0.070511609,-0.235061809,-0.672296244,-0.698421012,73
2023/02/19/19:16:55.011046,2184,1814969,566724658,map,-0.101379432,-0.205674142,11.27329159,0.070864094,-0.235831421,-0.67074422,-0.699617232,73
2023/02/19/19:16:55.043490,2185,1814969,598724658,map,-0.163407102,-0.312595129,11.2197094,0.070968233,-0.236038072,-0.669490091,-0.700737166,73
2023/02/19/19:16:55.079519,2186,1814969,638724658,map,-0.237362146,-0.439492047,11.15391636,0.070839796,-0.235728204,-0.669060268,-0.70126477,73
2023/02/19/19:16:55.111134,2187,1814969,671330218,map,-0.29361859,-0.535620868,11.10233593,0.070514522,-0.234827067,-0.66817008,-0.702447625,73
2023/02/19/19:16:55.143180,2188,1814969,703330218,map,-0.346970618,-0.626401305,11.05181885,0.069695535,-0.232760554,-0.667408555,-0.703939639,73
2023/02/19/19:16:55.179225,2189,1814969,735330218,map,-0.397836357,-0.712532699,11.00228214,0.06915025,-0.231575606,-0.667249024,-0.704535137,73
2023/02/19/19:16:55.211429,2190,1814969,767933521,map,-0.446119428,-0.793949783,10.95379066,0.068074894,-0.229053054,-0.667066448,-0.705636599,73
2023/02/19/19:16:55.243590,2191,1814969,799933521,map,-0.491037548,-0.869297862,10.90679169,0.066894034,-0.225820928,-0.667062742,-0.70679378,73
2023/02/19/19:16:55.283716,2192,1814969,839933521,map,-0.543916643,-0.957399547,10.84945393,0.066099408,-0.223811588,-0.667147888,-0.707426985,73
2023/02/19/19:16:55.315645,2193,1814969,872547355,map,-0.582827091,-1.021719456,10.80514908,0.064617541,-0.220048111,-0.667468107,-0.708441725,73
2023/02/19/19:16:55.347610,2194,1814969,904547355,map,-0.618819058,-1.080816746,10.76221561,0.06288834,-0.215535933,-0.667978387,-0.709502848,73
2023/02/19/19:16:55.387375,2195,1814969,936547355,map,-0.652576506,-1.135819197,10.72018147,0.061933798,-0.213202768,-0.668297845,-0.709990671,73
2023/02/19/19:16:55.419479,2196,1814969,969171277,map,-0.683103502,-1.185152054,10.67977238,0.059946205,-0.208234992,-0.669138687,-0.710843289,73
